continent,country,dataset_name,provider,coverage,source_type,label_or_geometry,confirmed_pv_presence_label,scale_or_record_count,license_or_access,recommended_earthpv_use,priority,source_url,last_updated,notes
Global,Global,OpenStreetMap Solar PV,OpenStreetMap contributors,Global,Crowdsourced geospatial registry / label source,"PV generator polygons, ways, relations and points using solar/generator tags",Yes where mapped; coverage is incomplete,Global and continuously changing,Open Database License (ODbL) 1.0; attribution/share-alike requirements apply,Global bootstrap positives; candidate labels; local mapping campaigns; never treat absence as a negative,A+,https://www.openstreetmap.org/,Live/continuous; checked 2026-09-13,EarthPV already uses OSM as a primary global label source. Completeness varies strongly by country and PV system size.
Global,Global,Global Inventory of Photovoltaic Solar Energy Generating Units,Kruitwagen et al. / University of Oxford / Descartes Labs / WRI,Global,Direct training/validation dataset + model-derived inventory,"OSM-derived training PV polygons, manually curated validation/test polygons, and predicted global PV polygons",Mixed: training/validation polygons are observed labels; predicted inventory is model-derived,"18,570 training AOIs; 36,882 OSM training polygons; 68,661 predicted polygons",Public Zenodo dataset; verify repository license for redistribution/derivative packaging,Global geographic pretraining and large-PV segmentation; validation; pseudo-label candidate generation,B+,https://zenodo.org/records/5005868,2021-10-27 (Zenodo modified),"Skews toward larger generating units compared with small residential rooftop PV, so use with stratification."
Global,Global,Global Photovoltaic Solar Panel Dataset 2019-2022,Li et al.,Global,Model-derived global dataset + manual validation/training samples,Annual 20-m PV maps with manually annotated sub-meter image samples and validation polygons,Mixed: manual samples yes; global annual layers are model-derived,Annual global maps for 2019-2022; 179 manually annotated 0.6-m images reported,Open Scientific Data publication; underlying Google Earth imagery has separate terms,"Global pseudo-labels, temporal change supervision, sampling priors and validation; not a substitute for local rooftop gold labels",B+,https://www.nature.com/articles/s41597-025-04985-y,2025-04-16 (publication),Useful for geographic coverage and temporal priors; audit imagery licensing before reusing high-resolution source images.
Africa,Global (Africa 9.1% of tiles),African Rooftop Photovoltaic Dataset,Shanghai University of Electric Power et al. / iScience,"Global tile mix, verified from the published archive 2026-09-19: Sevilla 28.7%, Los Angeles 13.8%, USAE 8.0%, New York 5.7%, SAFK 5.1%, China 4.8%, Shanghai 4.1%, AFK 4.0%, plus AU/JP/VN/TH. African tiles (AFK+SAFK) 223 of 2,454 = 9.1%. Isipingo Beach (Durban, South Africa) is the only named site.",Direct training dataset,"Pixel-wise masks as 512x512 uint8 TIFF. NOT georeferenced: CRS None, identity transform, bounds in pixel space. No polygons, and none derivable.",Yes,"2,454 training label tiles verified in train_labels.rar (paper states 2,957 incl. val/test); tiles carry no country metadata beyond an opaque filename prefix.","NO LICENSE FILE in the repository (8 files, none a licence), so default copyright applies and no reuse or redistribution is granted. Archives are git-LFS .rar.","Segmentation training chips only, and only if the licence is cleared. CANNOT provide calibration quadrats: roofclf calibration needs a located, bounded, exhaustively mapped area and these tiles have no location at all.",C,https://github.com/Linboa/African-Rooftop-Photovoltaic-Dataset,2026-09-19 (files inspected; paper release 2026-07-13),"Downgraded from A+ on 2026-09-19 after inspecting the published files rather than the paper. Three earlier claims are unsupported: multi-country African coverage (it is 9.1% African and the plurality is Seville), country metadata accompanying samples (filename prefixes only), and usability for continental calibration (no georeferencing). The masks themselves are genuine and the imagery is real; the value is domain-adaptation training, not labels with a place."
Africa,Botswana,Botswana Rooftop Solar Programme Net-Metered Participant Register,Botswana Power Corporation / Botswana Energy Regulatory Authority,National Botswana; register captures city/zone/feeder,Administrative registry / partnership target,"Participant facility register with active/decommissioned status, capacity and geography (city, zone, feeder); individual register maintained electronically",Yes for registered active participants; rooftop/ground field may require filtering,Dynamic national Rooftop Solar Programme participant register,Register is not publicly downloadable; BERA rules/guidelines confirm its existence and reporting fields—requires BPC/BERA data agreement,High-value national Silver-label partnership source; request privacy-safe facility coordinates/building identifiers plus active/decommissioned status,B+,https://www.bera.co.bw/electricity.php,2024-10-09,2024 guidelines explicitly call for reporting active/decommissioned RTS systems with city/zone/feeder information from the net-metered participant register.
Africa,Egypt,Egypt PV Hub Solar Station Map / Registry,Egypt PV Hub,National Egypt,Interactive administrative/project registry / partnership target,Interactive map and database of solar PV systems/projects; station-level information presented through the platform,Likely project presence; bulk-label quality requires audit,Platform reports national installed PV totals and maps executed solar stations; record count is dynamic,Public interactive platform; no open bulk-download license located—request structured export from platform owners,Potential Silver C&I/rooftop positive source; prioritize Cairo/Alexandria/Nile Delta building matching after obtaining coordinates,B+,https://pv-hub.org/,Not stated; live portal checked 2026-09-13,"Treat as partnership/registry source until the underlying station table, geospatial precision and rooftop/ground classification are confirmed."
Africa,Ethiopia,Addis Ababa Rooftop Solar Potential Mapping,NEO / World Bank energydata.info,Addis Ababa sample area,Building/roof context dataset,Building footprint polygons + rooftop attributes,No,Individual-building structure level,CC BY 4.0,Roof masks; hard-negative generation; localization sampling,B+,https://energydata.info/dataset/addis-abeba-rooftop-solar-potential-mapping,2022-04-15,Not an installation registry.
Africa,Ghana,Accra Rooftop Solar Potential Mapping,NEO / World Bank energydata.info,Accra sample area,Building/roof context dataset,Building footprint polygons + suitable area/capacity/building type,No,Individual-building structure level,CC0 1.0,"Roof masks, negative sampling, candidate prioritization",B+,https://energydata.info/dataset/accra-rooftop-solar-potential-mapping,2022-04-15,0.5 m stereo imagery used to derive roofs.
Africa,Kenya,KakumaAerial Dataset,Microsoft AI for Good / collaborators,"Kakuma and Kalobeyei refugee camps, Turkana County",Direct training dataset,"High-resolution aerial imagery with semantic masks for buildings and solar panels; hard-negative points, manually curated background polygons and roof-material chips",Yes,17.3 GB tiled imagery plus segmentation masks and train/validation/test splits,Open Zenodo record; verify dataset and underlying OpenAerialMap/OSM licensing before redistribution,Gold/strong Silver African segmentation labels; small-system morphology; hard-negative and roofclf training,A+,https://zenodo.org/records/14727217,2025-01-23,Particularly valuable because it includes explicit hard negatives and building/solar semantic classes in a difficult humanitarian settlement domain.
Africa,Kenya,Kilifi South rooftop solar detection labels / map,WRI Africa / Energy Access Explorer,Kilifi South / Kilifi town,Research training dataset / mapped detections,Manually labelled PV in high-resolution imagery; georeferenced detected systems,"Model detections (YOLOv8, 94% reported accuracy), not exhaustive hand labels.",274 rooftop PV systems identified in Kilifi town; exact training-set size not published in article,No downloadable dataset located 2026-09-19; article describes method only. No licence stated.,"Bronze only: an active-learning pool if obtained. Agreement with it is not validation, per the OpenPVMapper finding.",B-,https://africa.wri.org/fr/node/885,2025-06-05,Model trained with manually labelled high-resolution images; >90% precision reported.
